//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 2141009
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02141009;1;01/01/1939;1;50;80,3;25;10;1;1;0;;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0,9;0,5;0,6;0;0;0;0;0,5;50;0,5;25,4;0,9;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/02/1939;1;25;25,7;9;2;1;1;0;;0;0;0;0;0;0;0;0;0;25;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
02141009;1;01/03/1939;1;25;35;30;2;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;25;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/04/1939;1;25;84,5;6;5;1;1;0;;0;0;0;0;0;0;25;21;0;0;0;0;0;0,5;23;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/05/1939;1;12;12;2;1;1;1;0;;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/06/1939;1;14;15;2;4;1;1;0;;0;0,4;14;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/07/1939;1;10;10;18;1;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/08/1939;1;14;14,9;24;2;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0,9;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/09/1939;1;;22,3;;;0;2;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
02141009;1;01/10/1939;1;18;35,5;5;5;1;1;0;;0;0;0;0,6;0;18;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;16;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/11/1939;1;29;116;28;5;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;25;0;25;0;0;0;18;29;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/12/1939;1;25,4;62,1;9;8;1;1;0;;0;0;0,3;0;0;0;0;0,3;0,5;25,4;0,3;0;0;0;0;0;0;0;0;12;0;0;0;0;0,3;0;0;0;23;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/01/1940;1;25,9;147,2;30;8;1;1;0;877,2;1;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;25,3;0;0,4;12;25,6;0;0;0;15;25;25,9;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/02/1940;1;19;107,6;5;8;1;1;0;877,2;1;0;0;0;0;19;16;0,6;18;0;0;0;0;0;0;0;0;0;0;0;0;14;0;15;0;0;12;13;0;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
02141009;1;01/03/1940;1;25,3;99,8;16;8;1;1;0;877,2;1;0,5;0;0;13;0;0;0;0;0;0;0;12;0,4;0;0,6;25,3;0;0;0;0;23;25;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/04/1940;1;16;31,3;30;3;1;1;0;877,2;1;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;16;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/05/1940;1;13;14,6;19;4;1;1;0;877,2;1;0,6;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;13;0,3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/06/1940;1;25,7;39;9;3;1;1;0;877,2;1;0;0;0;0;0;0;0;13;25,7;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/07/1940;1;0,4;0,7;25;2;1;1;0;877,2;1;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/08/1940;1;0,7;1,2;27;2;1;1;0;877,2;1;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/09/1940;1;25;94,2;25;6;1;1;0;877,2;1;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0,2;25;17;18;18;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/10/1940;1;25,9;98,5;27;8;1;1;0;877,2;1;0;0;0;0;0;0;0;0;0;0;0;18;0,3;0;0;0;0;0;0;20;0;0,7;0;0;0;0;25,9;0,6;21;0;12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/11/1940;1;47;219,5;23;14;1;1;0;877,2;1;0;0;0;0;0;25,5;16;0;25,9;23;0,6;0,3;0;0,6;0,6;43;0;13;0;0;0;0,6;47;0,4;0;0;0;0;0;23;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/12/1940;1;12;23,6;22;4;1;1;0;877,2;1;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0,4;0;0;0;12;0;11;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/01/1941;1;42;134,8;14;13;1;1;0;968;1;23;10;0,4;0;0;0;0;0;0;0;0;0;0;42;21;0;0;0;17;0,6;0,7;0,4;0;0,2;0,6;18;0;0,9;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/02/1941;1;50,8;62,6;23;6;1;1;0;968;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0,3;0;0;50,8;0,7;0,6;0,2;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
02141009;1;01/03/1941;1;25;72,9;19;7;1;1;0;968;1;0,6;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0;0;20;0,5;25;25;0;0;0;0;0;0;0;0,9;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/04/1941;1;22;66,5;1;8;1;1;0;968;1;22;10;0,5;0,3;11;0;0;0,3;22;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/05/1941;1;25,3;61,2;8;6;1;1;0;968;1;0;0;0;0;0;0;0;25,3;0,3;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;13;11;0;0;0;0;0;11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/06/1941;1;14;15;14;2;1;1;0;968;1;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/07/1941;1;55;94,3;9;4;1;1;0;968;1;0;0;0;0;0;0;0;0;55;0;19;0;0;0;0;0;0,3;0;0;20;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/08/1941;1;0,5;0,7;18;2;1;1;0;968;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0,2;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
